iter	RMSE
0	2.901789677
1	2.847815937
2	2.797159737
3	2.748099027
4	2.702371584
5	2.657464888
6	2.615539583
7	2.575534156
8	2.5371959
9	2.501205832
10	2.465926203
11	2.433134979
12	2.400915168
13	2.37068224
14	2.340972337
15	2.313586858
16	2.287686544
17	2.261967537
18	2.237946442
19	2.21494865
20	2.193362944
21	2.172938942
22	2.152189346
23	2.132955764
24	2.114604936
25	2.097498325
26	2.081112881
27	2.06584544
28	2.050963317
29	2.036548535
30	2.023389063
31	2.010788658
32	1.998580856
33	1.986856922
34	1.975727003
35	1.965445597
36	1.95570307
37	1.946516591
38	1.936923461
39	1.928048543
40	1.919735791
41	1.911443345
42	1.903447576
43	1.896416914
44	1.889366801
45	1.882628284
46	1.875935406
47	1.870506534
48	1.864809351
49	1.859059065
50	1.853783084
51	1.849092749
52	1.84470385
53	1.84030916
54	1.835384643
55	1.830765746
56	1.82656297
57	1.82281677
58	1.819074274
59	1.815858554
60	1.812392462
61	1.808659098
62	1.80549828
63	1.802620849
64	1.799877176
65	1.796806403
66	1.794450679
67	1.791901977
68	1.789160124
69	1.786886631
70	1.784808399
71	1.782699908
72	1.780724509
73	1.77886472
74	1.776666606
75	1.774655057
76	1.772415375
77	1.770461195
78	1.768671674
79	1.767003679
80	1.765593315
81	1.764017393
82	1.762270816
83	1.760907121
84	1.759673731
85	1.758317617
86	1.757201194
87	1.755876581
88	1.754881075
89	1.753927886
90	1.752620534
91	1.751229533
92	1.750125571
93	1.749191078
94	1.748496016
95	1.747518835
96	1.746265203
97	1.745551052
98	1.744834755
99	1.743825695
100	1.74276913
101	1.742107688
102	1.741221867
103	1.74028139
104	1.739424948
105	1.738518771
106	1.737806095
107	1.737223521
108	1.736297123
109	1.735761447
110	1.735307611
111	1.734453942
112	1.734078324
113	1.733612191
114	1.733246832
115	1.732440759
116	1.731695522
117	1.731300945
118	1.730506883
119	1.729821892
120	1.729267567
121	1.728699995
122	1.72807557
123	1.727805532
124	1.727190478
125	1.726839
126	1.726478133
127	1.726117271
128	1.725539724
129	1.725072325
130	1.724461281
131	1.723826824
132	1.72361524
133	1.723284499
134	1.723052784
135	1.722506205
136	1.722209832
137	1.721602503
138	1.721354285
139	1.72064144
140	1.720194694
141	1.719817619
142	1.71924388
143	1.718656002
144	1.718330192
145	1.717762403
146	1.717294654
147	1.717048146
148	1.71668158
149	1.71624044
150	1.715827714
151	1.715253653
152	1.71465662
153	1.714161379
154	1.713809346
155	1.713514056
156	1.712904443
157	1.71273472
158	1.712431136
159	1.71227492
160	1.711703425
161	1.711208598
162	1.710760633
163	1.710448684
164	1.710210988
165	1.709957692
166	1.70963871
167	1.7091762
168	1.708812051
169	1.708432034
170	1.70810275
171	1.707729255
172	1.70725538
173	1.706903869
174	1.706549208
175	1.706399994
176	1.706081899
177	1.705785225
178	1.705360837
179	1.704943802
180	1.704741202
181	1.704423007
182	1.704124242
183	1.703854284
184	1.703384209
185	1.703011447
186	1.702730821
187	1.702560096
188	1.702236286
189	1.702005229
190	1.701706756
191	1.701276419
192	1.700932553
193	1.700607187
194	1.700319804
195	1.700042629
196	1.699747215
197	1.699549036
198	1.69940159
199	1.699179243
200	1.698889196
201	1.698591472
202	1.698294829
203	1.698076395
204	1.697877706
205	1.697597274
206	1.697393317
207	1.6971067
208	1.696882638
209	1.696732661
210	1.696404792
211	1.696149015
212	1.695931197
213	1.695771047
214	1.695621916
215	1.695389593
216	1.695110899
217	1.694936719
218	1.694648555
219	1.694481108
220	1.694353063
221	1.694207634
222	1.693873902
223	1.693646623
224	1.693415841
225	1.693104347
226	1.692948573
227	1.692680251
228	1.692554574
229	1.692333875
230	1.69209623
231	1.691854844
232	1.691477221
233	1.691370627
234	1.691131447
235	1.690925581
236	1.690843652
237	1.690568325
238	1.690234833
239	1.690066089
240	1.6897769
241	1.689591937
242	1.689204829
243	1.688913403
244	1.688753188
245	1.688333992
246	1.688159126
247	1.688052307
248	1.687735704
249	1.687464458
250	1.687384199
251	1.687133733
252	1.686906113
253	1.686670705
254	1.686373897
255	1.686157015
256	1.685927298
257	1.685731831
258	1.685590035
259	1.685404678
260	1.685239202
261	1.6850293
262	1.684804682
263	1.68454955
264	1.684430592
265	1.684239108
266	1.683987488
267	1.683880531
268	1.683760962
269	1.683525243
270	1.683373202
271	1.68321661
272	1.683087286
273	1.682911886
274	1.682735208
275	1.682607084
276	1.682354234
277	1.68226204
278	1.682141768
279	1.682009136
280	1.681835934
281	1.681757041
282	1.681673999
283	1.681418519
284	1.681278919
285	1.68109184
286	1.680941965
287	1.680706861
288	1.680508655
289	1.680338185
290	1.680124527
291	1.68006404
292	1.679883946
293	1.679676643
294	1.679518223
295	1.679425963
296	1.679201367
297	1.679106332
298	1.67882379
299	1.678539153
300	1.678392225
301	1.67830535
302	1.678209164
303	1.67792851
304	1.677758258
305	1.677521948
306	1.677312582
307	1.677121569
308	1.676925068
309	1.676618241
310	1.676517845
311	1.676325958
312	1.676007009
313	1.675855523
314	1.675660156
315	1.675573651
316	1.675409787
317	1.675235636
318	1.675102069
319	1.675027054
320	1.67491535
321	1.674648473
322	1.674437261
323	1.674137404
324	1.67387677
325	1.673612972
326	1.67337755
327	1.673202664
328	1.67302923
329	1.672918209
330	1.672696942
331	1.672616276
332	1.672367931
333	1.672248102
334	1.672091355
335	1.671943181
336	1.671745334
337	1.671508872
338	1.671200384
339	1.671051635
340	1.670845197
341	1.670654101
342	1.67050796
343	1.670327396
344	1.670182385
345	1.66987103
346	1.669763851
347	1.669628787
348	1.669436886
349	1.669201603
350	1.669058673
351	1.668918692
352	1.668704764
353	1.668425686
354	1.668095308
355	1.667982777
356	1.667880659
357	1.667766072
358	1.667590485
359	1.667412005
360	1.667243525
361	1.667149755
362	1.667016173
363	1.666806041
364	1.66658221
365	1.666401046
366	1.666222251
367	1.666072884
368	1.66592416
369	1.665741478
370	1.665551572
371	1.665436621
372	1.665213168
373	1.66505065
374	1.664823843
375	1.664653334
376	1.664404284
377	1.66411526
378	1.663968342
379	1.663734326
380	1.663617438
381	1.663471153
382	1.663319507
383	1.66319751
384	1.662998147
385	1.662832313
386	1.66265196
387	1.662417194
388	1.662157071
389	1.662003113
390	1.661865385
391	1.66168335
392	1.661406418
393	1.661293494
394	1.661064058
395	1.660845692
396	1.66067329
397	1.660509663
398	1.660352961
399	1.660261441
400	1.660106098
401	1.659848322
402	1.659681655
403	1.659451702
404	1.659199531
405	1.659053863
406	1.658893606
407	1.658623981
408	1.658440538
409	1.658309655
410	1.658069085
411	1.657857417
412	1.657730133
413	1.657619636
414	1.657512976
415	1.657206416
416	1.657081372
417	1.656922209
418	1.656834606
419	1.656641031
420	1.656458897
421	1.656314075
422	1.656033374
423	1.655796302
424	1.655791898
425	1.655601677
426	1.655432344
427	1.655277357
428	1.655264161
429	1.655192737
430	1.654999684
431	1.654773135
432	1.654495176
433	1.654348563
434	1.654224773
435	1.654098162
436	1.653926516
437	1.653869353
438	1.653615985
439	1.65347474
440	1.653281338
441	1.653171281
442	1.6529843
443	1.652813092
444	1.652671554
445	1.652555034
446	1.652415873
447	1.652122798
448	1.651940271
449	1.651804576
450	1.651669339
451	1.651479037
452	1.651192197
453	1.650962626
454	1.65079499
455	1.65078911
456	1.650629994
457	1.650509922
458	1.650322825
459	1.650252523
460	1.650017768
461	1.649854738
462	1.64975807
463	1.649609988
464	1.649454616
465	1.649302236
466	1.649053103
467	1.648903073
468	1.648801132
469	1.648612569
470	1.648437955
471	1.64821533
472	1.648210506
473	1.64798816
474	1.647842405
475	1.647425658
476	1.647247374
477	1.64708927
478	1.646933466
479	1.646750532
480	1.646666111
481	1.646518156
482	1.646488548
483	1.646350365
484	1.646214265
485	1.646071362
486	1.645981768
487	1.645820474
488	1.645681218
489	1.645600042
490	1.645514788
491	1.645370094
492	1.645257199
493	1.645062884
494	1.644978007
495	1.644848491
496	1.644736755
497	1.644613023
498	1.644413504
499	1.644285762
500	1.644163913
501	1.644072289
502	1.643985647
503	1.643866843
504	1.643645655
505	1.643614153
506	1.643400248
507	1.643234369
508	1.643092213
509	1.642999532
510	1.642877632
511	1.642663308
512	1.642471105
513	1.642412157
514	1.642250556
515	1.642064269
516	1.641872973
517	1.641768849
518	1.641764819
519	1.641648834
520	1.641491532
521	1.641249533
522	1.641170015
523	1.640929935
524	1.640642027
525	1.64055492
526	1.640453626
527	1.640362838
528	1.640296603
529	1.640189125
530	1.640086831
531	1.639925578
532	1.639823249
533	1.639698451
534	1.639517789
535	1.639308953
536	1.639082172
537	1.638953691
538	1.638806888
539	1.638620677
540	1.638411162
541	1.638306456
542	1.638161011
543	1.63791669
544	1.637798755
545	1.637601472
546	1.637441805
547	1.637267739
548	1.637174972
549	1.636903068
550	1.63676802
551	1.636640248
552	1.636462505
553	1.636134297
554	1.635991719
555	1.635987859
556	1.635889039
557	1.635755379
558	1.635557689
559	1.635341346
560	1.635185108
561	1.635036395
562	1.634886324
563	1.634668256
564	1.634562618
565	1.634343438
566	1.634113857
