iter	Passed	Remaining
0	18	45475
1	35	44591
2	53	44327
3	68	42996
4	84	42361
5	99	41263
6	116	41525
7	130	40794
8	145	40326
9	159	39795
10	176	39941
11	190	39535
12	207	39700
13	220	39142
14	236	39210
15	255	39653
16	270	39513
17	286	39566
18	303	39603
19	317	39346
20	335	39552
21	350	39436
22	367	39623
23	382	39432
24	400	39606
25	416	39650
26	435	39915
27	450	39778
28	467	39869
29	482	39688
30	497	39584
31	515	39759
32	532	39842
33	547	39716
34	565	39808
35	582	39890
36	598	39860
37	616	39966
38	633	39970
39	648	39865
40	662	39707
41	678	39713
42	696	39769
43	712	39772
44	730	39841
45	747	39867
46	764	39898
47	781	39940
48	801	40070
49	817	40071
50	835	40144
51	851	40092
52	871	40216
53	886	40137
54	903	40163
55	921	40220
56	939	40264
57	957	40324
58	974	40338
59	992	40364
60	1007	40275
61	1024	40269
62	1042	40334
63	1059	40323
64	1076	40332
65	1090	40217
66	1108	40243
67	1126	40274
68	1140	40189
69	1156	40130
70	1180	40369
71	1207	40719
72	1223	40682
73	1242	40745
74	1262	40816
75	1278	40775
76	1292	40676
77	1311	40728
78	1327	40683
79	1345	40701
80	1363	40717
81	1381	40733
82	1398	40730
83	1416	40755
84	1433	40724
85	1448	40672
86	1466	40665
87	1482	40647
88	1502	40707
89	1520	40708
90	1540	40771
91	1558	40781
92	1575	40787
93	1594	40800
94	1612	40816
95	1632	40880
96	1650	40887
97	1668	40889
98	1686	40892
99	1703	40873
100	1720	40871
101	1735	40812
102	1755	40846
103	1771	40807
104	1786	40754
105	1805	40784
106	1823	40779
107	1841	40791
108	1860	40805
109	1878	40817
110	1899	40871
111	1915	40838
112	1931	40811
113	1951	40837
114	1969	40845
115	1985	40799
116	2004	40817
117	2020	40781
118	2037	40764
119	2055	40767
120	2072	40754
121	2088	40706
122	2105	40693
123	2124	40702
124	2139	40654
125	2157	40642
126	2175	40656
127	2194	40663
128	2212	40662
129	2228	40634
130	2246	40629
131	2264	40626
132	2281	40610
133	2297	40574
134	2314	40542
